efta_number,anchor_priority,dossier_score,claim_lane,quality_flag,key_signal_level,phase14_candidate_rows,phase14_raw_decoder_rows,phase14_decoder_hit_count_from_candidates,phase14_decoder_hit_count_from_raw,phase14_convergent,phase14_keysets,phase14_spaces,phase14_ops,desktop_decoder_hits,desktop_matched_values,desktop_key_modes,desktop_top_score,key_context_examples,reporting_use
EFTA02097069,13,82,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages;local_artifacts,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA02097236,13,82,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages;local_artifacts,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA02097661,13,82,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,communications.emails_fts;full_text_corpus.doc_search;full_text_corpus.pages;local_artifacts,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA02097762,13,82,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA02097825,13,82,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,communications.emails_fts;full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA02097950,13,82,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA02098039,13,82,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,communications.emails_fts;full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA02098197,13,82,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,communications.emails_fts;full_text_corpus.doc_search;full_text_corpus.pages;local_artifacts,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA02098317,13,82,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00284895,12,73,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00285002,12,73,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00362703,12,75,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,communications.emails_fts;full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00362706,12,75,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,communications.emails_fts;full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00362709,12,75,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,communications.emails_fts;full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00362715,12,75,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,communications.emails_fts;full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00362718,12,75,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,communications.emails_fts;full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00362721,12,75,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00362725,12,75,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00362729,12,75,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00362771,12,75,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00362779,12,75,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00363340,12,75,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,communications.emails_fts;full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
EFTA00363345,12,75,thiel_epstein_access_intel,USABLE_TEXT,text_search_or_priority_only,1,0,0,0,False,,communications.emails_fts;full_text_corpus.doc_search;full_text_corpus.pages,,0,,,0,,No key-specific signal in current decoder rows; use as text/search anchor only.
